gutenberg_id,text
1514,[Enter HELENA.]
1514,
1514,HERMIA
1514,God speed fair Helena! Whither away?
1514,
1514,HELENA
1514,Call you me fair? that fair again unsay.
1514,Demetrius loves your fair. O happy fair!
1514,Your eyes are lode-stars; and your tongue's sweet air
1514,"More tuneable than lark to shepherd's ear,"
1514,"When wheat is green, when hawthorn buds appear."
1514,"Sickness is catching: O, were favour so,"
1514,"Yours would I catch, fair Hermia, ere I go;"
1514,"My ear should catch your voice, my eye your eye,"
1514,My tongue should catch your tongue's sweet melody.
1514,"Were the world mine, Demetrius being bated,"
1514,The rest I'd give to be to you translated.
1514,"O, teach me how you look; and with what art"
1514,You sway the motion of Demetrius' heart!
1514,
1514,HERMIA
1514,"I frown upon him, yet he loves me still."
1514,
1514,HELENA
1514,O that your frowns would teach my smiles such skill!
1514,
1514,HERMIA
1514,"I give him curses, yet he gives me love."
1514,
1514,HELENA
1514,O that my prayers could such affection move!
1514,
1514,HERMIA
1514,"The more I hate, the more he follows me."
1514,
1514,HELENA
1514,"The more I love, the more he hateth me."
1514,
1514,HERMIA
1514,"His folly, Helena, is no fault of mine."
1514,
1514,HELENA
1514,"None, but your beauty: would that fault were mine!"
1514,
1514,HERMIA
1514,Take comfort; he no more shall see my face;
1514,Lysander and myself will fly this place.--
1514,"Before the time I did Lysander see,"
1514,Seem'd Athens as a paradise to me:
1514,"O, then, what graces in my love do dwell,"
1514,That he hath turn'd a heaven unto hell!
1514,
1514,LYSANDER
1514,"Helen, to you our minds we will unfold:"
1514,"To-morrow night, when Phoebe doth behold"
1514,"Her silver visage in the watery glass,"
1514,"Decking with liquid pearl the bladed grass,--"
1514,"A time that lovers' flights doth still conceal,--"
1514,Through Athens' gates have we devis'd to steal.
1514,
1514,HERMIA
1514,And in the wood where often you and I
1514,"Upon faint primrose beds were wont to lie,"
1514,"Emptying our bosoms of their counsel sweet,"
1514,There my Lysander and myself shall meet:
1514,"And thence from Athens turn away our eyes,"
1514,To seek new friends and stranger companies.
1514,"Farewell, sweet playfellow: pray thou for us,"
1514,And good luck grant thee thy Demetrius!--
1514,"Keep word, Lysander: we must starve our sight"
1514,"From lovers' food, till morrow deep midnight."
1514,
1514,LYSANDER
1514,"I will, my Hermia."
1514,
1514,[Exit HERMIA.]
1514,
1514,LYSANDER
1514,"                   Helena, adieu:"
1514,"As you on him, Demetrius dote on you!"
1514,
1514,[Exit LYSANDER.]
1514,
1514,HELENA
1514,How happy some o'er other some can be!
1514,Through Athens I am thought as fair as she.
1514,But what of that? Demetrius thinks not so;
1514,He will not know what all but he do know.
1514,"And as he errs, doting on Hermia's eyes,"
1514,"So I, admiring of his qualities."
1514,"Things base and vile, holding no quantity,"
1514,Love can transpose to form and dignity.
1514,"Love looks not with the eyes, but with the mind;"
1514,And therefore is wing'd Cupid painted blind.
1514,Nor hath love's mind of any judgment taste;
1514,Wings and no eyes figure unheedy haste:
1514,"And therefore is love said to be a child,"
1514,Because in choice he is so oft beguil'd.
1514,"As waggish boys in game themselves forswear,"
1514,So the boy Love is perjur'd everywhere:
1514,"For ere Demetrius look'd on Hermia's eyne,"
1514,He hail'd down oaths that he was only mine;
1514,"And when this hail some heat from Hermia felt,"
1514,"So he dissolv'd, and showers of oaths did melt."
1514,I will go tell him of fair Hermia's flight;
1514,Then to the wood will he to-morrow night
1514,Pursue her; and for this intelligence
1514,"If I have thanks, it is a dear expense:"
1514,"But herein mean I to enrich my pain,"
1514,To have his sight thither and back again.
1514,
1514,[Exit HELENA.]
1514,
1514,
1514,
1514,SCENE II. The Same. A Room in a Cottage.
1514,
1514,"[Enter SNUG, BOTTOM, FLUTE, SNOUT, QUINCE, and STARVELING.]"
1514,
1514,QUINCE
1514,Is all our company here?
1514,
1514,BOTTOM
1514,"You were best to call them generally, man by man,"
1514,according to the scrip.
1514,
1514,QUINCE
1514,"Here is the scroll of every man's name, which is thought"
1514,"fit, through all Athens, to play in our interlude before the"
1514,duke and duchess on his wedding-day at night.
1514,
1514,BOTTOM
1514,"First, good Peter Quince, say what the play treats on;"
1514,then read the names of the actors; and so grow to a point.
1514,
1514,QUINCE
1514,"Marry, our play is--The most lamentable comedy and most"
1514,cruel death of Pyramus and Thisby.
1514,
1514,BOTTOM
1514,"A very good piece of work, I assure you, and a merry.--"
1514,"Now, good Peter Quince, call forth your actors by the scroll.--"
1514,"Masters, spread yourselves."
1514,
1514,QUINCE
1514,"Answer, as I call you.--Nick Bottom, the weaver."
1514,
1514,BOTTOM
